% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
11773	5	1	1	0	28	9422	0	1	0
11813	5	1	1	0	28	9422	0	1	0
11823	5	1	1	0	28	9422	0	1	0
11863	5	1	1	0	28	9422	0	1	0
11873	5	1	1	0	28	9422	0	1	0
11913	5	1	1	0	28	9422	0	1	0
11923	5	1	1	0	28	9422	0	1	0
11963	5	1	1	0	28	9422	0	1	0
11973	5	1	1	0	28	9422	0	1	0
12013	5	1	1	0	28	9422	0	1	0
12020	5	1	1	0	28	9422	1	0	0
12023	5	1	1	0	28	9422	0	1	0
12063	5	1	1	0	28	9422	0	1	0
12073	5	1	1	0	28	9422	0	1	0
12113	5	1	1	0	28	9422	0	1	0
12123	5	1	1	0	28	9422	0	1	0
12163	5	1	1	0	26	7708	0	1	0
12173	5	1	1	0	28	9422	0	1	0
12213	5	1	1	0	28	9422	0	1	0
12223	5	1	1	0	28	9422	0	1	0
12263	5	1	1	0	28	9422	0	1	0
12273	5	1	1	0	28	9422	0	1	0
12313	5	1	1	0	28	9422	0	1	0
12323	5	1	1	0	28	9422	0	1	0
12363	5	1	1	0	28	9422	0	1	0
12373	5	1	1	0	28	9422	0	1	0
12413	5	1	1	0	28	9422	0	1	0
12423	5	1	1	0	26	7708	0	1	0
12463	5	1	1	0	28	9422	0	1	0
12473	5	1	1	0	28	9422	0	1	0
12480	5	1	1	0	28	9422	1	0	0
12513	5	1	1	0	28	9422	0	1	0
12523	5	1	1	0	28	9422	0	1	0
12563	5	1	1	0	28	9422	0	1	0
12573	5	1	1	0	28	9422	0	1	0
12613	5	1	1	0	26	7708	0	1	0
12623	5	1	1	0	28	9422	0	1	0
12663	5	1	1	0	28	9422	0	1	0
12673	5	1	1	0	28	9422	0	1	0
12713	5	1	1	0	28	9422	0	1	0
12723	5	1	1	0	28	9422	0	1	0
12763	5	1	1	0	26	7708	0	1	0
12773	5	1	1	0	28	9422	0	1	0
12813	5	1	1	0	28	9422	0	1	0
12823	5	1	1	0	28	9422	0	1	0
12863	5	1	1	0	28	9422	0	1	0
12873	5	1	1	0	28	9422	0	1	0
12913	5	1	1	0	28	9422	0	1	0
12923	5	1	1	0	28	9422	0	1	0
12963	5	1	1	0	28	9422	0	1	0
12973	5	1	1	0	28	9422	0	1	0
13013	5	1	1	0	28	9422	0	1	0
13023	5	1	1	0	28	9422	0	1	0
13063	5	1	1	0	28	9422	0	1	0
13073	5	1	1	0	28	9422	0	1	0
13113	5	1	1	0	28	9422	0	1	0
13123	5	1	1	0	28	9422	0	1	0
13130	5	1	1	0	28	9422	1	0	0
13163	5	1	1	0	28	9422	0	1	0
13173	5	1	1	0	28	9422	0	1	0
13213	5	1	1	0	28	9422	0	1	0
13223	5	1	1	0	28	9422	0	1	0
13263	5	1	1	0	28	9422	0	1	0
13273	5	1	1	0	28	9422	0	1	0
13313	5	1	1	0	28	9422	0	1	0
13323	5	1	1	0	28	9422	0	1	0
13363	5	1	1	0	28	9422	0	1	0
13373	5	1	1	0	28	9422	0	1	0
13413	5	1	1	0	26	7708	0	1	0
13423	5	1	1	0	28	9422	0	1	0
13463	5	1	1	0	28	9422	0	1	0
13473	5	1	1	0	28	9422	0	1	0
13480	5	1	1	0	28	9422	1	0	0
13513	5	1	1	0	26	7708	0	1	0
13523	5	1	1	0	24	6882	0	1	0
